username,postid,text
churchmouse,post_1060875966,pay lie mammogram site quot word extermin negro popul start negro project sanger human weed human be born margaret sanger civil refer immigr poor peopl sanger purpos promot birth control creat race wrote birth control review sanger children fit unfit chief aim birth control birth control review sanger word extermin negro popul occur rebelli member woman bodi woman social histori birth control america gordon sanger marriag bed degener influenc social order sanger sanger crimin abort pervert sex relationship stress econom necess greatest frequenc marri women woman rebel god master sanger refrain women recogn function machin girl margaret sanger max publish sanger merci thing larg famili infant member kill margaret sanger women race eugen sanger birth control lead ultim cleaner race margaret sanger woman moral birth control york york publish compani cleaner race black sanger eugen steril urgent prevent multipl bad stock margaret sanger april birth control review bad stock black sanger eugen adequ thorough avenu solut racial polit social problem margaret sanger eugen birth control propaganda birth control review octob sanger failur segreg moron increas multipli demonstr sentiment encourag healthier normal section shoulder burden bring reader agre dead weight human wast decreas aim elimin stock detriment futur race render degre domin pay submit dictat spawn class human be born margaret sanger civil chapter cruelti chariti colleg librari edit hundr quot encourag read negro project feel sick quot ilk go organ promot celibaci chastiti presid plan parenthood feder america lo angel time cours peopl mistak champion pay bill parent stupid deni access birth control call plan parenthood plan parenthood advertis dalla observ care parent will basic kind sex sex victim sex sex victim wrong sex chang combin mountain plan parenthood denver question sell men fals real question sell destruct sister prostitut allianc bodi boston women health collect plan parenthood birth control consent knowledg parent plan parenthood wo parent swear wo parent plan parenthood employe lectur student high school april goal concern plan parenthood purpos plan cours action readi educ parent help young peopl sex satisfact marriag sanction sex marriag will prevent fear guilt reliev feel readi provid young boy girl best contracept measur will achiev sexual satisfact risk pregnanc plan parenthood news summer develop quot plan parenthood news summer
diamond_lil,post_1060826814,claim mother respons children confus natur imposs men abort natur women pregnant men woman bodi pregnant women bodi risk man will impregn invit space power bodi call shot person impregn walk sperm gift cours play devil advoc base logic stanc child born longer bodi man owe mother child child sure understand difficult societi law recognis father child life thing financi abort describ stupid make sens understand concept parenthood man father born child aliv woman mother birth child aliv pregnant women argument base think sens
locke9-05,post_1060921347,posit continu repeat fallaci argument go continu anecdot bear logic thought process whatsoev explain countless time period time abort law place abort rate chang lead logic conclus law place futur will result exact outcom terribl fallaci reason condit futur argument fact law will differ clearli argument logic valid collater damag consid immor definit collater damag best fair amount certainti peopl collater damag evil immor order advanc goal consid moral immor accept gain difficult societi collect believ poll includ member societi opinion topic love choic situat choos danger abort choos medic assist safe birth hospit choos child adopt choic result kill innoc life women choos abort fall shoulder
frodly,post_4602715,idea sovereignti fundament western liber democraci concept strip left free control free control woman carri fetu term state dictat correct idea peopl sovereign nation collaps idea freedom speech religion collaps idea action action dictat entir concept right meaningless fundament element underli right strip fall deck card strip abort right women will lead tyranni argument argument argument nonsens forgiv mention high school colleg grad school read independ mind understand will expand will understand argument women choos failur
churchmouse,post_1061067704,junkieturtl deni woman kill live human child wrong deni wrong decid rape decenc tear human child womb apart decent wow base christ perfect life joy creation torn rip apart womb compassion thing innoc life mother mess law reflect time control left wing humanist control today celebr deviant stuff long accept imagin side will enact law kill small children drop center quick easi fuss econom truth allow room allow room sharia law racism sexism child pornographi rape steal place wrong truth forc adher abort illeg wrong truth wrong worldview left door wide open abort pass bia scotu fed lie fact happen law reflect time abort sex marriag sodomi illeg left wing radic judg legal matter peopl overturn peopl work overturn law support great truth truth
shiva_td,post_1061724661,fetu near full term person issu address law relat person constitut base legal preced preborn person potenti person argument base opinion impact codifi law legal issu real issu address repeatedli point unwil address fundament problem personhood focu attent argument present personhood birth base law argument human legal mean human referenc constitut rephras question legal mean signific believ preborn human be basic irrelev person question
giftedone,post_1060883928,biologist univers miami claim zygot human claim debat seriou scientif circl comment journal articl expert biologist claim zygot homo sapien differ develop exist organ develop care confus word usag stage develop human human cours fetu fetu human latin terminolog appear case scienc convent term hundr year scienc gener chang minut flaw latin mean definit word empir deriv latin word empir empir quack base falsehood trick definit empir absolut verifi miss point answer question live human exist heart brain function silli argument human exist case switch exist human complet memori life experi compar zygot heart attribut consid human instant patient die ceas live human heart replac bring person life heart replac patient dead reason bring patient life reason memori experi thing valu person zygot thing human
durandal,post_1061536174,cours truth simpl peopl fail thought issu simplist stanc life concept religi idea soul wo listen reason women concern consider consid embryo human life develop measur feel awar make egg sperm cell atheist open letter argument author talk fetu suffer mention abort impact bodi appeal emot claim woman choos sex wrong abort pregnanc develop author elabor sound emot simplist naiv hear religi
megadethfan,post_1061755213,mindset thought human life sacr brutal peopl cathol threat cours dont stupid childish refer nazi doesnt lack sincer understand discuss understand better god perspect fals fetus offer grief famili cost state myriad feel well good oppos entir respect simpl disagre wrong importantli incred presumpt ignor statement concept understand defend posit dont intent view natur well leav contribut
sadanie,post_4828981,pain decid babi manag pain quot women anatomi unusu teenag suffer sever pain call common teenag girl counter medic help reliev pain doctor prescrib low dose birth control pill condit hormon imbal correct birth control hormon year ago european doctor awar age suffer neg consequ bc help conquer provid husband mutual satisfi sex life free unwant pregnanc husband kind care problem vasectomi word read articl understand perfectli well women moot point happen woman bc pill decad egg expel expel good reason god elimin unhealthi egg sooner better woman pregnant subject fals hope prior week purpos offens ridicul call support birth control pro healthi want children children born woman trust choic god problem allow zygot earli stage foetu today medicin interf good bad god design egg met carri term total peac god convinc truth care earli christian document christian document bibl year stori bibl year bibl mind respect timelin wrong birth control pill creat artifici cycl extrem regular regular natur cycl circular argument base belief basic belief god children born belief doubt word well love pictur sister beauti famili children late oldest born august born februari three miscarriag singl birth care method method withdraw method work extrem fundamentalist real afraid face realiti breast fed children month born state august second born juli longer breast fed three children extrem healthi option necess go god will women funni
otter,post_3518702,week john md user guid brain ny book week neuron prolifer complet week process neuron migrat time week ghost ny atlant monthli press week day tini ball multipli cell fold movement activ gene cell will form nervou system john md user guid brain ny book week phd child grow mind ny three week concept neuron appear md mind amp brain ny book stage neuron form minut faith question brain ask answer press week futur brain nervou system appar portion outer form structur cell thick neural plate neural run length neural plate divid left richard md secret life brain washington press joseph henri press week gain muscl practic effort environ susan phd susan ma smarter babi ny book week cell influenc energi reflect sound wave paul phd heart code ny book week ghost ny atlant monthli press john md user guid brain ny book phd scienc polit fetal pain week robert phd root ny publish week second cough mother fetu move rapidli ghost ny atlant monthli press week finger suck help develop jaw cheek muscl susan phd susan ma smarter babi ny book week week fetal will joy donald phd bond word book fetu yawn smile fetu happi fetu swallow fluid regularli susan phd susan ma smarter babi ny book femal system fetu femal produc hormon phd differ ny william compani week heart rate fetu chang sound occur environ joseph ny book center emerg md mind amp brain ny book week ghost ny atlant monthli press
nineinchnailz,post_1061099678,address point time scientif defin moment conscious human life biolog life form concept aliv individu reach stage develop concept puberti moment life gain arbitrari back scientif aliv brain switch glad kill life start moment brain turn kill human kill human young abort illeg fetu develop brain wave week minut legisl measur exact time concept unknown societi starter deal make unwant children place educ contracept person respons corner stone solut resort adopt life creat chanc decid exist
rpa1,post_1060893289,tradit moral definit societi come god human equat moral brought folk basic understand wrong societi lose agre moral valu rel individu desir law base moral principl break written word law bent twist desir enter phase secular humanist go chang redefin written word forum word mean misunderstood best worst exampl utter lack folk abil discern correct mean word oxymoron requir peopl opposit sex homosexu play
heretic,post_1061477783,continu blame god anim blame god miscarri god absolut respons life good evil god reliev free will god man free will god free will man better question bent blame god powerless absolut irrespons life respons lesson christ son god holi lord christ die sin mankind divin creator send son bear burden sin shoulder lord christ carri shoulder help christ true christian bear true christian name day christ betray juda jew true christian help carri burden christ cross guilti guilti guilti guilti guilti blame god sin year girl rape father protect bastard child great nation bastard children day true christian father protect pride worth esteem true christian famili protect famili rapist father protect daughter liber famili liber divorc free access divorc abort liber liber hate virgin innoc rape liber call father famili true christian moral ethic spiritu creat famili scum scum creat famili anim bird worm creat famili moral ethic nobl anim bet exactli
smileyface,post_4799998,abort doctor wealthi focu anti abort group wrong peopl favor elimin abort better start teach birth control control children male call perman relationship condom women practic birth control well sens teach instil person idea abstin work talk birth control time anti abort foolish well favor woman choic bodi well busi abort circumst abort option need option peopl head sexual matter abort debat
megadethfan,post_1060879053,insert quotat bracket dont explain posit rape question rape read comment dont question pedophilia attract children wrong wrong sexual assault child pedophilia sexual assault clearli clueless matter stupid line fact moral moral relativist read drivel write stupid moral relativist figur fact logic tell wrong man slow yep dont support nope time logic moral wrong nope logic isnt suppos incorrectli ration correct view action defend interest person stupid nope abort idiot rape logic hinder woman abort logic moral thing express opinion abort immor ahead logic moral relativist lie time claim dont
turin,post_1061803572,case someon right deem greater case woman birth question point right greater someon right win mother greater right control bodi allow abort fetu greater right woman forc birth will realist scenario creat blanket ban abort peopl think sex sign contract birth basic vote vote forc woman birth will choic cours
militantconservative,post_1061315987,talk freedom peac aggress kill human life arguabl fetus human life abort roughli month gestat plain crimin absolut disgust liber woman consciou love violenc benefit hand wait liber fate day war left attack wait heavi duti fire arm defens aggress technic peac defend occur peac equat absenc peac equat absenc initi aggress
whaler17,post_4252776,post verif abort homicid reason argument definit child definit homicid fetal homicid law current feder unborn victim violenc point crystal clear conced current abort legal homicid homicid abort homicid opinion assert fact proven ration reason consid human person horrif flaw logic back pure specul propos threshold personhood arbitrari concept undeni human life
rpa1,post_1060842787,choic word corrupt choos abort industri america scotu rule women privaci law point women taught time girl consid abort contracept option fairli benign procedur lie perpetr media public school allow young girl abort parent consent birth best choic crowd teach girl respect respons peni vagina love commit relationship parent undermin popular media public educ point go condom abort
mrlittlelawyer,post_1061699215,previou debat abort grown exceedingli tire constant exchang data brain activ week pregnanc ultim lead hope offer speak subject watch bit daili news crew question abort report woman ask man question right uteru suppos appal guy right bodi support right person correct will defend point declar unit state independ clearli state found principl men life liberti pursuit happi right inalien person right fetu correct scientif term person fact person sustain woman bodi forfeit right thi true kill elderli nurs home leech societi children money sustain parent kill kid inhuman wrong argument person womb human good reason view think person womb human thing sens fetu human problem will human argu potenti abil argu person womb human definit will abort process definit lead human be creation human nasa rocket build facil mission mar rocket built insid cancel mission mar rocket built human abort brick tree thing life rape realiz circumst forfeit right person true children born rape open murder rape consid wors crime rape woman rob right choos sex right wors creation person rapist shot form execut serious care human execut consid crime question rapist rob right shot person creat rapist intent rob right person creat caught middl punish crime commit hostag situat crimin will tape victim leg arm mouth cover face kill easier
sadanie,post_4828989,quot women anatomi unusu teenag suffer sever pain call common teenag girl counter medic help reliev pain doctor prescrib low dose birth control pill condit hormon imbal correct birth control hormon year ago european doctor awar age suffer neg consequ bc help conquer provid husband mutual satisfi sex life free unwant pregnanc husband kind care problem vasectomi word read articl understand perfectli well women moot point happen woman bc pill decad egg expel expel good reason god elimin unhealthi egg sooner better woman pregnant subject fals hope prior week purpos offens ridicul call support birth control pro healthi want children children born woman trust choic god problem allow zygot earli stage foetu today medicin interf good bad god design egg met carri term total peac god convinc truth care earli christian document christian document bibl year stori bibl year bibl mind respect timelin wrong birth control pill creat artifici cycl extrem regular regular natur cycl circular argument base belief basic belief god children born belief doubt word well love pictur sister beauti famili children late oldest born august born februari three miscarriag singl birth care method method withdraw method work child boy tube tie resolv breast fed children month born state august second born juli longer breast fed three children extrem healthi option necess go god will women
injest,post_4946715,unwil preciou set tax money money kill black babi money fund program prioriti lie wouldnt peopl complet illog argument tax money fund organ pay build abort held pay util abortionist pay millionair director promot abort pay medicin women abort pay lobbi advertis promot abort will actual rip leg arm infant throw remain garbag total wealthi afford pay dollar salari billion asset money seper money simpli logic fulli awar slick willi lawyer account will figur book girl buy support organ trace bill paycheck dont rip account rabbit pull hat support sanger racist kill black babi bloodi organ govern forc
spt5,post_4754100,guy imagin guy spend time kid write exist statist fact interest understand woman pregnant kitchen equat good guy construct proposit prevent feminist mind control illustr success femin money price expect famili femin individu famili result famili parent work achiev basic singl femin femin construct destroy mindset altern solut taboo break attack idea child welfar
churchmouse,post_1061575825,true person think sex pay consequ potenti babi hear term babi lmao abortionist goal job granni woman die abort clinic chicago funni women die lol oper room nurs discuss chicago woman death oper room nurs assist amp fact deepli regret ask god forgiv thing chang amp fact tear babi call product concept piec machin small suppos catch part babi bag blow fish part blood bottl identifi babi pick tini hand stick instrument part babi cling life luckili marri move face duti peopl condon woman live danger hospit spread leg bounc orgasm endur pregnanc safe women lie tell god peopl liter sick
blasphemer,post_1061119296,gamet outcom human embryo outcom human outcom potenti exactli embryo gamet person abort reason woman moral neutral person victim crime case mob rule align moral static true chang moral tradit help help harm good exampl moral sex reliabl contracept safe abort protect treatment common std peopl poor cultur impos strict regul sex life monogam relationship benefici societi tradit obsolet effect sex procreat elimin std threat major prefer good reason moral major
rpa1,post_4903714,denial pose question religi display ignor rest post denial angel star david tradit erect citi street public build centuri long rememb sort problem ilk tear vagu interpret claus wrap constitut unconstitut thing wrote refer religi folk eastern european communist control area open display religion prohibit question fact case religi display need order creat cohes opposit freed folk stifl communist rule exact reason allow atheist organ conspir space order block christian display season religi symbol pose scenario entiti govern freedom exampl claim paranoid obfusc best lie worst fact remain religi decor amp symbol continu exist continu display public properti public view close eye offend read declar independ look state church problem talk paranoid
mrlittlelawyer,post_1060922542,small person individu peopl commend make religi stand reform chang fact soul religion moral base religion constant long moral chang time lead serious scare church motto grace faith christ exactli faith understand entir hate rob right situat mention strip right vice versa question interest argument cell till tenth person case twin result chang opinion provid fairli good argument interest question sens analog stab soul resid bodi cut arm leg cut heart well kill soul heart well blood lung soul bodi specif soul cut arm slice spirit half mortal knife worthless weapon soul dwell bodi specif bodi soul read bit refer triniti testament exampl father son holi ghost three person god god spirit soul simpl answer spirit etern bodi die soul origin bodi etern chang
anders_hoveland,post_1061850206,abort support women bought feminist idea femal power domin pregnanc career hold achiev power men destroy view needless women marri plan marri domin relationship seek men push true outlook base premis femal oppress sex men women face potenti consequ pregnanc realiti choos femal mind half fetus abort femal wonder babi toss altar women right
smileyface,post_4261402,granni gener includ word direct accept gener time post read point gener make point put display exactli semant type forum thread look read titl thread white christian protest abort peopl bother util type devic whaler defend relat pole statist decept harm decid attack granni defend whaler honest nasti granni hmmm post find play word game mistak debat topic derail thread
cady,post_1060975870,margaret sanger die roe wade abort legal assum leadership time felt abort servic provid reproduct autonomi women sanger goal sourc provid professor american histori harvard univers staff writer woman margaret sanger birth control movement america york amp sourc accept unreli misinform post fact wade lot wing propaganda margaret sanger truth
dixnickson,post_1061235557,cadi domest abus rape texa law allow rape victim abort child well hope happi pictur time life fair woman portion credit fifti dead reject bring worldli reward oppos moral stanc human enemi argu posit think state chang heart territori imo domain welcom heart ruler heart flip posit abort embrac spiritu death flip chang heart share attribut author children adopt met happi peopl
herkdriver,post_4591139,folk ingrain dehuman process will regard gestat time unborn mind ration murder moral relativ german citizenri stood watch jew homosexu mental ill round death camp dehuman extent longer homicid equival slaughter anim entiti exact rational start semant admit biolog realiti fetu human birth infant birth human womb biolog realiti entiti differ stage develop whaler deal brainwash peopl militari techniqu teach troop kill effect conscienc process dehuman foe foe child parasit diseas entiti
cassandrabandra,post_4912887,believ christian interpret number pregnanc result abort miscarriag go allow happen allow children starv god free will decis decis termin pregnanc easi met woman decis lightli foetu earli stage pregnanc child point life argu cultur long babi foetu viabl womb consider technolog medic support happi refer child case lot earlier
giftedone,post_4807914,ambigu languag develop human life serv confus issu develop human develop scienc describ develop adolesc develop case zygot refer fact chang develop chang human human cell dna human heart life aliv preciou human life describ human cell human life term describ human mean term term technic correct mean understood human zygot singl human cell develop adolesc develop chang life reproduc creat daughter cell clone parent reproduct parent zygot longer exist cell longer exist divis pass dna instruct creation human parent zygot develop exist entiti daughter cell creat separ human implant embryo activ instruct set separ exist initi cell will number cell eventu born human will form blastocyst hollow sphere cell insid will form consist cell will form human blastocyst form placenta happen creation part human creat instruct set replic cell divis initi cell blastocyst worker creat part human question human consist live human brain part human complet human straight fact singl cell skin cell live human cell differ human skin cell human zygot cell dna zygot cell program creat human differ cow similar sapien definit zygot cow brain zygot cow zygot cow mammal zygot cow feel pain zygot cow thought zygot cow reproduc sexual zygot cow care young zygot cow call zygot cow human zygot right zygot cow cannib zygot human
shiva_td,post_1061442396,refer zygot embryo fetu disparag term scientif stage human develop prior birth neg connot accur descript call zygot embryo fetu babi simpli dishonest base definit infant toddler adolesc adult refer person constitut protect right person establish constitut protect inalien right legal issu legal issu relev address law personhood differ fetu child incub legal differ matter determin roe wade histor preced establish personhood prior birth key issu support establish personhood accomplish constitut amend creat constitut preced oppos movement address legal perspect constitut suprem law land dishonest argument movement absolut honest roe wade argu correct decis base legal preced argument establish legal constitut amend peopl will listen argument base honesti address actual issu address compel argument highli recommend movement current misrepresent work base rhetor fail examin call fetu babi fail time fals state fetu person valid argument disput base differ opinion valid opinion misrepresent truth oppos advantag present posit peopl will support promot constitut amend establish right base establish personhood oppos promot invidi law current infring violat right woman
junkieturtle,post_1062033487,right univers matter hand life life agre univers law kind aliv entir human construct differ born care reli singl person surviv newli conceiv embryo absolut depend mother exist bodi technolog design support surviv point justif languag structur birth start point person human trait bold quot exactli best time confus born right skin cell characterist person person thing right reason abort busi person abort person choos carri term choic busi talk fetu properti fetu lack complet illeg consid selfish selfish justif law
blasphemer,post_4906154,moral exist law base inconsist abort develop mind legal abort ban inconsist ban braindead biolog aliv peopl life support organ transplant braindead peopl effect biolog kill leav transplant legal time biolog death brain death legal person biolog death hospit clearli mind care cell brain death mark person appear function brain mark person appear stem cell biolog death mark
locke9-05,post_1061029427,pretend read deliber dishonest statement access post critiqu real crux academ studi verifi opposit find altern sourc conced origin sourc beg differ fine find open sourc articl support argument sure well tough luck ad hominem well read doubt logic expect close sourc studi internet debat serious plain simpl logic access materi educ lack charact flaw attempt credit discredit evid enter debat open post ask question evid display imposs guess technic enter debat enter debat answer question evid supposedli support stanc answer wrong refer studi hard text post violat copyright prove entir premis premis thread wrong ludicr topic fib
okgrannie,post_1062022394,make abort illeg work place time countri abort crimin abort number abort countri legal crimin abort law book ineffect pursu remedi gener law rape murder robberi work punish abort crime imposs abort woman women result fear punish recogn imposs prosecut law pragmat matter support law book law base wrong law pass affect behavior societi order maintain societi opinion wrong lie law forbid lie instanc lie affect order societi
pasithea,post_1062014637,idea stage develop day zygot week embryo rest pregnanc fetu hard figur difficult proper medic scientif term semant determin live die woman make individu choic determin continu pregnanc doubt think semant make choic correct terminolog debat subject clear concis discuss posit prefer discuss posit make case freedom choic women free choic person aid care women poorer class birth rais children lifer align conserv understand conserv care help aid poor pregnant women decid fault forc fend
sunnyside,post_1061463669,alright purpos rhetor town hall debat congratul abil twist disdain murder straw man argument care dead well bonu twist want pay peopl sex care kill babi despit obviou pro life stanc intellectu dishonesti clearli troubl town hall debat ignor rest thread repli open subject chang town hall debat audienc go convinc joke discuss issu suppos stanc issu discuss chang support parent decid kid buri wo cri night support kill child birth girl want boy physic defect good chang mind decid support thing reason support
locke9-05,post_1060919125,quot conveni context quot women go engag unprotect sex refus held account action attempt termin result statement condit women engag unprotect sex grant women abort protect sexual activ statement clearli refer women engag unprotect sex adequ justif systemat kill human life case moral compass will choos babi termin pregnanc viabl option hypothet abort legal babi contribut factor decid factor decis fall individu individu question day school student harass bulli peer respons school shoot result unsupport assert pay abort procedur good financi situat
herkdriver,post_1061826689,abort day total year abort strictli birth control caus unwant pregnanc abort sought femal involv medic complic rape incest choic intercours pregnant realiti abort curiou ignor statist dwell statist event abort fetu seriou health issu common sens dictat person pregnant abstain activ lead pregnanc common sens woman suppos abort legal viabl option semant reduc murder conveni nobl event abort sought case nobl wrap pretti packag call women choos fetu surgic remov uteru thrown bin talk realiti
